"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R29","0603","5.8mm","14.3mm","5.8mm","14.3mm","5.8mm","13.55mm","T","90.00","RES SMD 0 OHM JUMPER 1/10W 0603"
"FB6","0805F","8.5mm","10.6mm","8.5mm","10.6mm","9.5mm","10.6mm","T","180.00","FERRITE BEAD 120 OHM 0805 1LN"
"FB5","0805F","38.6mm","2.5mm","38.6mm","2.5mm","39.6mm","2.5mm","T","180.00","FERRITE BEAD 120 OHM 0805 1LN"
"FB4","0805F","66mm","11mm","66mm","11mm","67mm","11mm","T","180.00","FERRITE BEAD 120 OHM 0805 1LN"
"C1","0603C","95mm","36.5mm","95mm","36.5mm","95.75mm","36.5mm","T","180.00","CAP CER 0.1UF 50V X7R 0603"
"C2","0805C","76.7mm","19.5mm","76.7mm","19.5mm","77.7mm","19.5mm","T","180.00","CAP CER 10UF 50V X5R 0805"
"C3","0805C","76.7mm","21.5mm","76.7mm","21.5mm","77.7mm","21.5mm","T","180.00","CAP CER 10UF 50V X5R 0805"
"C4","0603C","76.9mm","23.3mm","76.9mm","23.3mm","77.65mm","23.3mm","T","180.00","CAP CER 10000PF 50V X7R 0603"
"C5","0603C","76.9mm","29mm","76.9mm","29mm","77.65mm","29mm","T","180.00","CAP CER 10000PF 50V X7R 0603"
"C6","0805C","97.5mm","26.5mm","97.5mm","26.5mm","96.5mm","26.5mm","T","0.00","CAP CER 10UF 50V X5R 0805"
"C7","0805C","97.5mm","28.5mm","97.5mm","28.5mm","96.5mm","28.5mm","T","0.00","CAP CER 10UF 50V X5R 0805"
"C8","0603C","97.3mm","30.3mm","97.3mm","30.3mm","96.55mm","30.3mm","T","0.00","CAP CER 10000PF 50V X7R 0603"
"C26","1206_-_NP","29mm","29.5mm","29mm","29.5mm","29mm","31.2mm","T","270.00","CAP CER 47UF 25V X5R 1206"
"C27","1206_-_NP","31.8mm","29.5mm","31.8mm","29.5mm","31.8mm","31.2mm","T","270.00","CAP CER 47UF 25V X5R 1206"
"C9","1206_-_NP","55.5mm","38.5mm","55.5mm","38.5mm","55.5mm","40.2mm","T","270.00","CAP CER 47UF 25V X5R 1206"
"C10","1206_-_NP","58.3mm","38.5mm","58.3mm","38.5mm","58.3mm","40.2mm","T","270.00","CAP CER 47UF 25V X5R 1206"
"C11","0603C","57.4mm","26.6mm","57.4mm","26.6mm","58.15mm","26.6mm","T","180.00","CAP CER 0.1UF 100V X7R 0603"
"C52","1206_-_NP","66.7mm","38.5mm","66.7mm","38.5mm","66.7mm","40.2mm","T","270.00","CAP CER 47UF 25V X5R 1206"
"C13","0603C","72mm","27.4mm","72mm","27.4mm","72.75mm","27.4mm","T","180.00","CAP CER 0.015UF 50V X7R 0603"
"C14","0603C","72mm","28.8mm","72mm","28.8mm","72.75mm","28.8mm","T","180.00","CAP CER 6800PF 50V X7R 0603"
